document,question,answer,source,document_type,document_length,question_length,answer_length,answer_to_document_ratio,question_ru,answer_ru,document_ru,question_type
"the world's first institution of technology or technical university with tertiary technical education is the banská akadémia in banská štiavnica, slovakia, founded in 1735, academy since december 13, 1762 established by queen maria theresa in order to train specialists of silver and gold mining and metallurgy in neighbourhood. teaching started in 1764. later the department of mathematics, mechanics and hydraulics and department of forestry were settled. university buildings are still at their place today and are used for teaching. university has launched the first book of electrotechnics in the world.",what year was the banská akadémia founded?,1735,SQuAD,Wikipedia Article,608,42,4,0.006578947368421052,В каком году была основана банска академия?,1735,"Первый в мире технологический или технический институт с высшим техническим образованием - это Бэнска академия в Банска-штиавнице, Словакия, основанная в 1735 году, академия с 13 декабря 1762 года, созданная королевой Марией Тереза для подготовки специалистов по добыче серебра и золота и металлургии по соседству. Преподавание началось в 1764 году. Университет запустил первую в мире книгу электротехники.",как
"the standard specifies how speed ratings should be reported by the camera. if the noise-based speed (40:1) is higher than the saturation-based speed, the noise-based speed should be reported, rounded downwards to a standard value (e.g. 200, 250, 320, or 400). the rationale is that exposure according to the lower saturation-based speed would not result in a visibly better image. in addition, an exposure latitude can be specified, ranging from the saturation-based speed to the 10:1 noise-based speed. if the noise-based speed (40:1) is lower than the saturation-based speed, or undefined because of high noise, the saturation-based speed is specified, rounded upwards to a standard value, because using the noise-based speed would lead to overexposed images. the camera may also report the sos-based speed (explicitly as being an sos speed), rounded to the nearest standard speed rating.",what is another speed that can also be reported by the camera?,sos-based speed,SQuAD,Wikipedia Article,890,62,15,0.016853932584269662,"какова еще одна скорость, о которой может быть сообщено камерой?",Скорость на основе sos,"В стандарте указывается, каким образом показания скорости должны отражаться камерой. Если скорость, основанная на шуме (40:1), превышает скорость, основанная на насыщении, то следует указывать скорость, основанная на шуме, округленная до стандартного значения (например, 200, 250, 320 или 400). Кроме того, можно указать широту воздействия в диапазоне от скорости, основанной на насыщении, до скорости, основанной на шуме 10:1. Если скорость, основанная на шуме (40:1), ниже, чем скорость, основанная на насыщении, или не определена из-за высокого шума, то определяется скорость, основанная на насыщении, округленная вверх до стандартного значения, поскольку использование скорости, основанной на шуме, приведет к завышению изображений. камера может также сообщать о скорости на основе sos (точнее как скорость sos), округленной до ближайшего стандартного значения скорости.",как
"the most impressive and famous of sumerian buildings are the ziggurats, large layered platforms which supported temples. sumerian cylinder seals also depict houses built from reeds not unlike those built by the marsh arabs of southern iraq until as recently as 400 ce. the sumerians also developed the arch, which enabled them to develop a strong type of dome. they built this by constructing and linking several arches. sumerian temples and palaces made use of more advanced materials and techniques,[citation needed] such as buttresses, recesses, half columns, and clay nails.",where were the use of advanced materials and techniques on display in sumer?,sumerian temples and palaces,SQuAD,Wikipedia Article,578,76,28,0.04844290657439446,"где используются передовые материалы и методы, показываемые в сумерках?",Сумеричные храмы и дворцы,"Наиболее впечатляющими и известными из сумерочных зданий являются зиггураты, крупные сложенные платформы, которые поддерживали храмы. Сумерианские герметики также изображают дома, построенные из тростника, не похожие на дома, построенные арабами южного ярма, до недавнего времени, когда было 400 сек. Суперианцы также разработали арку, которая позволила им создать сильный вид купола. Они построили это, сооружая и связывая несколько арков. Сумерианские храмы и дворцы использовали более совершенные материалы и методы, такие, как опоры, ниши, полуколоны и гвозди.",где
"ann arbor has a council-manager form of government. the city council has 11 voting members: the mayor and 10 city council members. the mayor and city council members serve two-year terms: the mayor is elected every even-numbered year, while half of the city council members are up for election annually (five in even-numbered and five in odd-numbered years). two council members are elected from each of the city's five wards. the mayor is elected citywide. the mayor is the presiding officer of the city council and has the power to appoint all council committee members as well as board and commission members, with the approval of the city council. the current mayor of ann arbor is christopher taylor, a democrat who was elected as mayor in 2014. day-to-day city operations are managed by a city administrator chosen by the city council.",who is elected every even numbered year?,mayor,SQuAD,Wikipedia Article,841,40,5,0.005945303210463734,Кто избирается каждый четный год?,Мэр,"Муниципальный совет состоит из 11 членов: мэра и 10 членов городского совета. Мэр и члены городского совета избираются на двухлетний срок: мэр избирается каждые четные годы, а половина членов городского совета - ежегодно (пять в четных и пять в нечетных годах). Из каждого из пяти округов города избираются два члена совета. Мэр избирается по всему городу. мэр является председателем городского совета и имеет право назначать всех членов комитета, а также членов совета и комиссии с одобрения городского совета. Нынешним мэром Ан-Арбора является Кристофер Тэйлор, демократ, избранный мэром в 2014 году.",кто
"shortly before his death, when he was already quite ill, von neumann headed the united states government's top secret icbm committee, and it would sometimes meet in his home. its purpose was to decide on the feasibility of building an icbm large enough to carry a thermonuclear weapon. von neumann had long argued that while the technical obstacles were sizable, they could be overcome in time. the sm-65 atlas passed its first fully functional test in 1959, two years after his death. the feasibility of an icbm owed as much to improved, smaller warheads as it did to developments in rocketry, and his understanding of the former made his advice invaluable.",what was the purpose of top secret icbm committee?,decide on the feasibility of building an icbm large enough to carry a thermonuclear weapon,SQuAD,Wikipedia Article,658,50,90,0.13677811550151975,Какова была цель сверхсекретного комитета по циббму?,":: принять решение о возможности строительства циббма, достаточного для ношения термоядерного оружия;","Незадолго до своей смерти фон Неуманн, когда он уже был очень болен, возглавлял секретный комитет по циббму правительства объединённых штатов, и иногда он собирался у себя дома. Его цель заключалась в том, чтобы решить вопрос о целесообразности строительства циббма, достаточно большого для того, чтобы носить термоядерное оружие. фон Неуманн долгое время утверждал, что, хотя технические препятствия являются значительными, они могут быть преодолены во времени. аттла sm-65 прошел свой первый полностью функциональный тест в 1959 году, через два года после его смерти. :: осуществимость создания циббма, столь же сильного, как и усовершенствованные, более мелкие боеголовки, и его понимание первых делает его совет бесценным.",как
"some critiqued paul vi's decision; the newly created synod of bishops had an advisory role only and could not make decisions on their own, although the council decided exactly that. during the pontificate of paul vi, five such synods took place, and he is on record of implementing all their decisions. related questions were raised about the new national bishop conferences, which became mandatory after vatican ii. others questioned his ostpolitik and contacts with communism and the deals he engaged in for the faithful.",what conferences became a requirement after vatican ii?,national bishop conferences,SQuAD,Wikipedia Article,523,55,27,0.05162523900573614,Какие конференции стали требованием после Ватикана ii?,Национальные епископские конференции,"Недавно созданный синод епископов имел лишь консультативную роль и не мог самостоятельно принимать решения, хотя совет решил именно так. Во время понтификата Поля vi было проведено пять таких синодов, и он официально выполняет все их решения. Были подняты связанные с этим вопросы о новых национальных епископских конференциях, которые стали обязательными после Ватикана ii Другие ставили под сомнение его политику и контакты с коммунизмом, а также сделки, которые он заключил с верующими.",что/какой
"bond and swann return to london where they meet m, bill tanner, q, and moneypenny; they intend to arrest c and stop nine eyes from going online. swann leaves bond, telling him she cannot be part of a life involving espionage, and is subsequently kidnapped. on the way, the group is ambushed and bond is kidnapped, but the rest still proceed with the plan. after q succeeds in preventing the nine eyes from going online, a brief struggle between m and c ends with the latter falling to his death. meanwhile, bond is taken to the old mi6 building, which is scheduled for demolition, and frees himself. moving throughout the ruined labyrinth, he encounters a disfigured blofeld, who tells him that he has three minutes to escape the building before explosives are detonated or die trying to save swann. bond finds swann and the two escape by boat as the building collapses. bond shoots down blofeld's helicopter, which crashes onto westminster bridge. as blofeld crawls away from the wreckage, bond confronts him but ultimately leaves him to be arrested by m. bond leaves the bridge with swann.",who does m fight with?,c,SQuAD,Wikipedia Article,1091,22,1,0.0009165902841429881,С кем я сражаюсь?,c,"Они собираются арестовать c и не дать девяти глазам выйти в интернет. Свонн оставляет связь, говоря ему, что она не может быть частью жизни, связанной с шпионажем, и впоследствии похищена. По пути группа попала в засаду, а связь похищена, а остальные все еще идут по плану. После того как q сумеет предотвратить выход девяти глаз в онлайн, короткая борьба между m и c заканчивается, когда последний погибнет. Тем временем, связь с старым зданием МИ6, которое запланировано к сносу, и освободится. Двигается по разрушенному лабиринту, он сталкивается с изуродованным блофельдом, который говорит ему, что у него есть три минуты, чтобы сбежать из здания до взрыва взрывчатки или смерти, пытаясь спасти лебедя. Когда Блофельд уползает от обломков, связь с ним противостоит, но в конце концов оставляет его под арестом месье Трэйн покидает мост с лебедем.",другое
"about 1150 species of fungi have been recorded from antarctica, of which about 750 are non-lichen-forming and 400 are lichen-forming. some of these species are cryptoendoliths as a result of evolution under extreme conditions, and have significantly contributed to shaping the impressive rock formations of the mcmurdo dry valleys and surrounding mountain ridges. the apparently simple morphology, scarcely differentiated structures, metabolic systems and enzymes still active at very low temperatures, and reduced life cycles shown by such fungi make them particularly suited to harsh environments such as the mcmurdo dry valleys. in particular, their thick-walled and strongly melanized cells make them resistant to uv light. those features can also be observed in algae and cyanobacteria, suggesting that these are adaptations to the conditions prevailing in antarctica. this has led to speculation that, if life ever occurred on mars, it might have looked similar to antarctic fungi such as cryomyces minteri. some of these fungi are also apparently endemic to antarctica. endemic antarctic fungi also include certain dung-inhabiting species which have had to evolve in response to the double challenge of extreme cold while growing on dung, and the need to survive passage through the gut of warm-blooded animals.",how many species of fungi have been found on antarctica?,1150,SQuAD,Wikipedia Article,1318,56,4,0.0030349013657056147,Сколько видов грибов было найдено на антарктике?,1150,"Из антарктики было зарегистрировано около 1150 видов грибков, из которых 750 не являются лишайниками и 400 - лишайниками. Некоторые из этих видов являются криптоэндолитами в результате эволюции в экстремальных условиях и внесли значительный вклад в формирование впечатляющих скалистых формаций сухих долин Мкмурдо и окружающих горных хребтов. Очевидно, простая морфология, едва различимые структуры, метаболические системы и ферменты по-прежнему действуют при очень низких температурах, а сокращенные жизненные циклы, показанные такими грибами, делают их особенно пригодными для таких суровых условий, как мкмурдо-сухие долины. В частности, их толстые стенки и сильно меланизированные клетки делают их устойчивыми к uv свету. Эти особенности также можно наблюдать в водорослях и цианобактерии, что предполагает, что это адаптация к условиям, преобладающим в антарктике. Это привело к предположениям о том, что если бы жизнь когда-либо произошла на марах, то она могла бы быть похожа на антарктические грибы, такие, как криомикс minteri. Некоторые из этих грибов также, по всей видимости, эндемичны к антарктике. К эндемическим антарктическим грибкам относятся также некоторые навозообитающие виды, которые должны эволюционировать в ответ на двойную проблему крайнего холода при росте навоза, и необходимость выжить в прохождении через кишечник теплых животных.",другое
"in the battle of cowan's ford, cornwallis met resistance along the banks of the catawba river at cowan's ford on february 1, 1781, in an attempt to engage general morgan's forces during a tactical withdrawal. morgan had moved to the northern part of the state to combine with general greene's newly recruited forces. generals greene and cornwallis finally met at the battle of guilford courthouse in present-day greensboro on march 15, 1781. although the british troops held the field at the end of the battle, their casualties at the hands of the numerically superior continental army were crippling. following this ""pyrrhic victory"", cornwallis chose to move to the virginia coastline to get reinforcements, and to allow the royal navy to protect his battered army. this decision would result in cornwallis' eventual defeat at yorktown, virginia, later in 1781. the patriots' victory there guaranteed american independence.","after losing the battle of guilford courthouse, cornawallis moved his troops where?",virginia coastline,SQuAD,Wikipedia Article,925,83,18,0.01945945945945946,"Проиграв битву при суде Гилфорда, Ромоллис перевёз свои войска куда?",Береговая линия вирджинии,"В битве за Форд Кована, кукурузный уклад встретил сопротивление вдоль берегов реки катауба на каване на фебруаре 1, 1781 года, в попытке привлечь силы генерала Моргана во время тактического вывода. Морган переехал в северную часть штата, чтобы объединиться с новобранцами генерала Грина. 15 марта 1781 года генералы Грин и кукурузный уоллис наконец встретились во время битвы при Гилфордском суде в нынешнем Гринсборо. Хотя британские войска держали поле в конце битвы, их жертвы от рук высшей континентальной армии были разрушительными. После этой «пиррической победы» кукурузный уоллис решил перебраться на побережье вирджинии, чтобы получить подкрепление, и позволить королевскому флоту защитить его избитую армию. Это решение привело бы к поражению кукурузного уоллиса в Йорктауне, штат Вирджиния, позднее в 1781 году. Победа патриотов там гарантировала американскую независимость.",другое
"the olympic torch is based on traditional scrolls and uses a traditional chinese design known as ""lucky cloud"". it is made from aluminum. it is 72 centimetres high and weighs 985 grams. the torch is designed to remain lit in 65 kilometre per hour (37 mile per hour) winds, and in rain of up to 50 millimetres (2 inches) per hour. an ignition key is used to ignite and extinguish the flame. the torch is fueled by cans of propane. each can will light the torch for 15 minutes. it is designed by a team from lenovo group. the torch is designed in reference to the traditional chinese concept of the 5 elements that make up the entire universe.",what is the olympic torch made from?,aluminum.,SQuAD,Wikipedia Article,641,36,9,0.014040561622464899,Из чего сделан олимпийский фонарь?,Алюминий.,"Олимпийский фонарь основан на традиционных свитках и использует традиционный китайский дизайн, известный как ""повезло облако"". Он изготовлен из алюминия. Он высотой 72 см и весит 985 граммов. Факел предназначен для того, чтобы оставаться включенным в 65 км/ч (37 миль/час) ветров, и в дожде до 50 мм (2 дюйма) в час. Ключ зажигания используется для воспламенения и тушения пламени. фонарь заправляется банками пропана. Каждый из них может зажигать фонарь в течение 15 минут. Он разработан командой из группы Lenovo. Факел разработан с учетом традиционной китайской концепции пяти элементов, составляющих всю вселенную.",другое
