document,title,document_ru,document_type,source,document_length,question,correct_answer,question_ru,answer_ru,is_test_case,question_length,question_type,answer,answer_length,answer_to_document_ratio
"The advancement of Chain-of-Thought (CoT) reasoning has significantly
enhanced the capabilities of large language models (LLMs) and large
vision-language models (LVLMs). However, a rigorous evaluation framework for
video CoT reasoning remains absent. Current video benchmarks fail to adequately
assess the reasoning process and expose whether failures stem from deficiencies
in perception or reasoning capabilities. Therefore, we introduce VCR-Bench, a
novel benchmark designed to comprehensively evaluate LVLMs' Video
Chain-of-Thought Reasoning capabilities. VCR-Bench comprises 859 videos
spanning a variety of video content and durations, along with 1,034
high-quality question-answer pairs. Each pair is manually annotated with a
stepwise CoT rationale, where every step is tagged to indicate its association
with the perception or reasoning capabilities. Furthermore, we design seven
distinct task dimensions and propose the CoT score to assess the entire CoT
process based on the stepwise tagged CoT rationals. Extensive experiments on
VCR-Bench highlight substantial limitations in current LVLMs. Even the
top-performing model, o1, only achieves a 62.8% CoT score and an 56.7%
accuracy, while most models score below 40%. Experiments show most models score
lower on perception than reasoning steps, revealing LVLMs' key bottleneck in
temporal-spatial information processing for complex video reasoning. A robust
positive correlation between the CoT score and accuracy confirms the validity
of our evaluation framework and underscores the critical role of CoT reasoning
in solving complex video reasoning tasks. We hope VCR-Bench to serve as a
standardized evaluation framework and expose the actual drawbacks in complex
video reasoning task.",VCR-Bench: A Comprehensive Evaluation Framework for Video Chain-of-Thought Reasoning,,scientific,arXiv_new,1748,,,,,,,,,0,0.0
"Cartoon avatars have been widely used in various applications, including
social media, online tutoring, and gaming. However, existing cartoon avatar
datasets and generation methods struggle to present highly expressive avatars
with fine-grained facial expressions and are often inspired from real-world
identities, raising privacy concerns. To address these challenges, we propose a
novel framework, GenEAva, for generating high-quality cartoon avatars with
fine-grained facial expressions. Our approach fine-tunes a state-of-the-art
text-to-image diffusion model to synthesize highly detailed and expressive
facial expressions. We then incorporate a stylization model that transforms
these realistic faces into cartoon avatars while preserving both identity and
expression. Leveraging this framework, we introduce the first expressive
cartoon avatar dataset, GenEAva 1.0, specifically designed to capture 135
fine-grained facial expressions, featuring 13,230 expressive cartoon avatars
with a balanced distribution across genders, racial groups, and age ranges. We
demonstrate that our fine-tuned model generates more expressive faces than the
state-of-the-art text-to-image diffusion model SDXL. We also verify that the
cartoon avatars generated by our framework do not include memorized identities
from fine-tuning data. The proposed framework and dataset provide a diverse and
expressive benchmark for future research in cartoon avatar generation.",GenEAva: Generating Cartoon Avatars with Fine-Grained Facial Expressions from Realistic Diffusion-based Faces,,scientific,arXiv_new,1451,,,,,,,,,0,0.0
"Generative AI presents a profound challenge to traditional notions of human
uniqueness, particularly in creativity. Fueled by neural network based
foundation models, these systems demonstrate remarkable content generation
capabilities, sparking intense debates about authorship, copyright, and
intelligence itself. This paper argues that generative AI represents an
alternative form of intelligence and creativity, operating through mathematical
pattern synthesis rather than biological understanding or verbatim replication.
The fundamental differences between artificial and biological neural networks
reveal AI learning as primarily statistical pattern extraction from vast
datasets crystallized forms of collective human knowledge scraped from the
internet. This perspective complicates copyright theft narratives and
highlights practical challenges in attributing AI outputs to individual
sources. Rather than pursuing potentially futile legal restrictions, we
advocate for human AI synergy. By embracing generative AI as a complementary
tool alongside human intuition, context, and ethical judgment, society can
unlock unprecedented innovation, democratize creative expression, and address
complex challenges. This collaborative approach, grounded in realistic
understanding of AIs capabilities and limitations, offers the most promising
path forward. Additionally, recognizing these models as products of collective
human knowledge raises ethical questions about accessibility ensuring equitable
access to these tools could prevent widening societal divides and leverage
their full potential for collective benefit.","We Are All Creators: Generative AI, Collective Knowledge, and the Path Towards Human-AI Synergy",,scientific,arXiv_new,1622,,,,,,,,,0,0.0
"In this note, we discuss the identifiability of a total effect in
cluster-DAGs, allowing for cycles within the cluster-DAG (while still assuming
the associated underlying DAG to be acyclic). This is presented into two key
results: first, restricting the cluster-DAG to clusters containing at most four
nodes; second, adapting the notion of d-separation. We provide a graphical
criterion to address the identifiability problem.",Note on the identification of total effect in Cluster-DAGs with cycles,,scientific,arXiv_new,426,,,,,,,,,0,0.0
"Next-venue recommender systems are increasingly embedded in location-based
services, shaping individual mobility decisions in urban environments. While
their predictive accuracy has been extensively studied, less attention has been
paid to their systemic impact on urban dynamics. In this work, we introduce a
simulation framework to model the human-AI feedback loop underpinning
next-venue recommendation, capturing how algorithmic suggestions influence
individual behavior, which in turn reshapes the data used to retrain the
models. Our simulations, grounded in real-world mobility data, systematically
explore the effects of algorithmic adoption across a range of recommendation
strategies. We find that while recommender systems consistently increase
individual-level diversity in visited venues, they may simultaneously amplify
collective inequality by concentrating visits on a limited subset of popular
places. This divergence extends to the structure of social co-location
networks, revealing broader implications for urban accessibility and spatial
segregation. Our framework operationalizes the feedback loop in next-venue
recommendation and offers a novel lens through which to assess the societal
impact of AI-assisted mobility-providing a computational tool to anticipate
future risks, evaluate regulatory interventions, and inform the design of ethic
algorithmic systems.",The Urban Impact of AI: Modeling Feedback Loops in Next-Venue Recommendation,,scientific,arXiv_new,1386,,,,,,,,,0,0.0
"Unsupervised zero-shot reinforcement learning (RL) has emerged as a powerful
paradigm for pretraining behavioral foundation models (BFMs), enabling agents
to solve a wide range of downstream tasks specified via reward functions in a
zero-shot fashion, i.e., without additional test-time learning or planning.
This is achieved by learning self-supervised task embeddings alongside
corresponding near-optimal behaviors and incorporating an inference procedure
to directly retrieve the latent task embedding and associated policy for any
given reward function. Despite promising results, zero-shot policies are often
suboptimal due to errors induced by the unsupervised training process, the
embedding, and the inference procedure. In this paper, we focus on devising
fast adaptation strategies to improve the zero-shot performance of BFMs in a
few steps of online interaction with the environment while avoiding any
performance drop during the adaptation process. Notably, we demonstrate that
existing BFMs learn a set of skills containing more performant policies than
those identified by their inference procedure, making them well-suited for fast
adaptation. Motivated by this observation, we propose both actor-critic and
actor-only fast adaptation strategies that search in the low-dimensional
task-embedding space of the pre-trained BFM to rapidly improve the performance
of its zero-shot policies on any downstream task. Notably, our approach
mitigates the initial ""unlearning"" phase commonly observed when fine-tuning
pre-trained RL models. We evaluate our fast adaptation strategies on top of
four state-of-the-art zero-shot RL methods in multiple navigation and
locomotion domains. Our results show that they achieve 10-40% improvement over
their zero-shot performance in a few tens of episodes, outperforming existing
baselines.",Fast Adaptation with Behavioral Foundation Models,,scientific,arXiv_new,1837,,,,,,,,,0,0.0
"Recent advances in inference-time compute have significantly improved
performance on complex tasks by generating long chains of thought (CoTs) using
Large Reasoning Models (LRMs). However, this improved accuracy comes at the
cost of high inference latency due to the length of generated reasoning
sequences and the autoregressive nature of decoding. Our key insight in
tackling these overheads is that LRM inference, and the reasoning that it
embeds, is highly tolerant of approximations: complex tasks are typically
broken down into simpler steps, each of which brings utility based on the
semantic insight it provides for downstream steps rather than the exact tokens
it generates. Accordingly, we introduce SpecReason, a system that automatically
accelerates LRM inference by using a lightweight model to (speculatively) carry
out simpler intermediate reasoning steps and reserving the costly base model
only to assess (and potentially correct) the speculated outputs. Importantly,
SpecReason's focus on exploiting the semantic flexibility of thinking tokens in
preserving final-answer accuracy is complementary to prior speculation
techniques, most notably speculative decoding, which demands token-level
equivalence at each step. Across a variety of reasoning benchmarks, SpecReason
achieves 1.5-2.5$\times$ speedup over vanilla LRM inference while improving
accuracy by 1.0-9.9\%. Compared to speculative decoding without SpecReason,
their combination yields an additional 19.4-44.2\% latency reduction. We
open-source SpecReason at https://github.com/ruipeterpan/specreason.",SpecReason: Fast and Accurate Inference-Time Compute via Speculative Reasoning,,scientific,arXiv_new,1581,,,,,,,,,0,0.0
"Large Language Models (LLMs) have revolutionized artificial intelligence,
driving advancements in machine translation, summarization, and conversational
agents. However, their increasing integration into critical societal domains
has raised concerns about embedded biases, which can perpetuate stereotypes and
compromise fairness. These biases stem from various sources, including
historical inequalities in training data, linguistic imbalances, and
adversarial manipulation. Despite mitigation efforts, recent studies indicate
that LLMs remain vulnerable to adversarial attacks designed to elicit biased
responses. This work proposes a scalable benchmarking framework to evaluate LLM
robustness against adversarial bias elicitation. Our methodology involves (i)
systematically probing models with a multi-task approach targeting biases
across various sociocultural dimensions, (ii) quantifying robustness through
safety scores using an LLM-as-a-Judge approach for automated assessment of
model responses, and (iii) employing jailbreak techniques to investigate
vulnerabilities in safety mechanisms. Our analysis examines prevalent biases in
both small and large state-of-the-art models and their impact on model safety.
Additionally, we assess the safety of domain-specific models fine-tuned for
critical fields, such as medicine. Finally, we release a curated dataset of
bias-related prompts, CLEAR-Bias, to facilitate systematic vulnerability
benchmarking. Our findings reveal critical trade-offs between model size and
safety, aiding the development of fairer and more robust future language
models.",Benchmarking Adversarial Robustness to Bias Elicitation in Large Language Models: Scalable Automated Assessment with LLM-as-a-Judge,,scientific,arXiv_new,1603,,,,,,,,,0,0.0
"We propose the Dual Engines of Thoughts (DEoT), an analytical framework for
comprehensive open-ended reasoning. While traditional reasoning frameworks
primarily focus on finding ""the best answer"" or ""the correct answer"" for
single-answer problems, DEoT is specifically designed for ""open-ended
questions,"" enabling both broader and deeper analytical exploration. The
framework centers on three key components: a Base Prompter for refining user
queries, a Solver Agent that orchestrates task decomposition, execution, and
validation, and a Dual-Engine System consisting of a Breadth Engine (to explore
diverse impact factors) and a Depth Engine (to perform deep investigations).
This integrated design allows DEoT to balance wide-ranging coverage with
in-depth analysis, and it is highly customizable, enabling users to adjust
analytical parameters and tool configurations based on specific requirements.
Experimental results show that DEoT excels in addressing complex, multi-faceted
questions, achieving a total win rate of 77-86% compared to existing reasoning
models, thus highlighting its effectiveness in real-world applications.",Dual Engines of Thoughts: A Depth-Breadth Integration Framework for Open-Ended Analysis,,scientific,arXiv_new,1134,,,,,,,,,0,0.0
"We present Pangu Ultra, a Large Language Model (LLM) with 135 billion
parameters and dense Transformer modules trained on Ascend Neural Processing
Units (NPUs). Although the field of LLM has been witnessing unprecedented
advances in pushing the scale and capability of LLM in recent years, training
such a large-scale model still involves significant optimization and system
challenges. To stabilize the training process, we propose depth-scaled sandwich
normalization, which effectively eliminates loss spikes during the training
process of deep models. We pre-train our model on 13.2 trillion diverse and
high-quality tokens and further enhance its reasoning capabilities during
post-training. To perform such large-scale training efficiently, we utilize
8,192 Ascend NPUs with a series of system optimizations. Evaluations on
multiple diverse benchmarks indicate that Pangu Ultra significantly advances
the state-of-the-art capabilities of dense LLMs such as Llama 405B and Mistral
Large 2, and even achieves competitive results with DeepSeek-R1, whose sparse
model structure contains much more parameters. Our exploration demonstrates
that Ascend NPUs are capable of efficiently and effectively training dense
models with more than 100 billion parameters. Our model and system will be
available for our commercial customers.",Pangu Ultra: Pushing the Limits of Dense Large Language Models on Ascend NPUs,,scientific,arXiv_new,1328,,,,,,,,,0,0.0
